,lo,hi,frequency,relative frequency,cumulative frequency
0,0.0,10.0,23.0,0.0756578947368421,0.0756578947368421
1,10.0,15.0,23.0,0.0756578947368421,0.1513157894736842
2,15.0,20.0,26.0,0.08552631578947369,0.2368421052631579
3,20.0,25.0,19.0,0.0625,0.2993421052631579
4,25.0,30.0,17.0,0.05592105263157895,0.35526315789473684
5,30.0,35.0,21.0,0.06907894736842106,0.4243421052631579
6,35.0,40.0,34.0,0.1118421052631579,0.5361842105263158
7,40.0,45.0,24.0,0.07894736842105263,0.6151315789473685
8,45.0,50.0,30.0,0.09868421052631579,0.7138157894736843
9,50.0,55.0,32.0,0.10526315789473684,0.8190789473684211
10,55.0,60.0,23.0,0.0756578947368421,0.8947368421052633
11,60.0,70.0,23.0,0.0756578947368421,0.9703947368421054
12,70.0,100.0,9.0,0.029605263157894735,1.0000000000000002
